Number,Time 197Au,197Au
1290,6.462,0
1291,6.467,0
1292,6.472,0
1293,6.477,0
1294,6.482,0
1295,6.487,0
1296,6.492,0
1297,6.497,200.0016
1298,6.502,200.0016
1299,6.507,0
1300,6.512,0
1301,6.517,0
1302,6.522,0
1303,6.527,0
1304,6.532,0
1305,6.537,0
1306,6.542,0
1307,6.547,0
1308,6.552,0
1309,6.557,0
1310,6.562,0
1311,6.567,200.0016
1312,6.572,200.0016
1313,6.577,0
1314,6.582,0
1315,6.587,200.0016
1316,6.592,0
1317,6.597,0
1318,6.602,0
1319,6.607,0
1320,6.612,0
1321,6.617,0
1322,6.622,0
1323,6.627,200.0016
1324,6.632,0
1325,6.637,400.0064001
1326,6.642,0
1327,6.647,0
1328,6.652,0
1329,6.657,0
1330,6.662,0
1331,6.667,0
1332,6.672,200.0016
1333,6.677,0
1334,6.682,200.0016
1335,6.687,0
1336,6.692,0
1337,6.697,0
1338,6.702,200.0016
1339,6.707,0
1340,6.712,0
1341,6.718,0
1342,6.723,0
1343,6.728,0
1344,6.733,0
1345,6.738,0
1346,6.743,0
1347,6.748,0
1348,6.753,200.0016
1349,6.758,200.0016
1350,6.763,0
1351,6.768,0
1352,6.773,0
1353,6.778,0
1354,6.783,0
1355,6.788,200.0016
1356,6.793,0
1357,6.798,0
1358,6.803,0
1359,6.808,0
1360,6.813,0
1361,6.818,200.0016
1362,6.823,0
1363,6.828,0
1364,6.833,0
1365,6.838,0
1366,6.843,0
1367,6.848,0
1368,6.853,0
1369,6.858,0
1370,6.863,0
1371,6.868,400.0064001
1372,6.873,0
1373,6.878,0
1374,6.883,0
1375,6.888,0
1376,6.893,0
1377,6.898,400.0064001
1378,6.903,0
1379,6.908,0
1380,6.913,0
1381,6.918,0
1382,6.923,600.0144003
1383,6.928,0
1384,6.933,0
1385,6.938,200.0016
1386,6.943,0
1387,6.948,0
1388,6.953,0
1389,6.958,0
1390,6.963,200.0016
1391,6.968,0
1392,6.973,0
1393,6.978,0
1394,6.983,0
1395,6.988,200.0016
1396,6.993,0
1397,6.998,0
1398,7.003,200.0016
1399,7.008,0
1400,7.013,200.0016
1401,7.018,0
1402,7.023,0
1403,7.028,200.0016
1404,7.033,0
1405,7.038,0
1406,7.043,400.0064001
1407,7.048,0
1408,7.053,200.0016
1409,7.058,0
1410,7.063,0
1411,7.068,0
1412,7.073,0
1413,7.078,0
1414,7.083,0
1415,7.088,0
1416,7.093,0
1417,7.098,0
1418,7.103,0
1419,7.108,0
1420,7.113,0
1421,7.118,0
1422,7.123,0
1423,7.128,0
1424,7.133,36453.07568
1425,7.138,0
1426,7.143,0
1427,7.148,0
1428,7.153,200.0016
1429,7.158,0
1430,7.163,0
1431,7.168,0
1432,7.173,0
1433,7.178,0
1434,7.183,200.0016
1435,7.188,0
1436,7.193,0
1437,7.198,0
1438,7.203,0
1439,7.208,0
1440,7.213,0
1441,7.218,0
1442,7.223,200.0016
1443,7.228,0
1444,7.233,0
1445,7.238,0
1446,7.243,0
1447,7.248,0
1448,7.253,0
1449,7.258,0
1450,7.263,0
1451,7.268,800.0256008
1452,7.273,0
1453,7.278,0
1454,7.283,0
1455,7.288,0
1456,7.293,0
1457,7.298,0
1458,7.303,0
1459,7.308,0
1460,7.313,0
1461,7.318,0
1462,7.323,200.0016
1463,7.328,41468.67212
1464,7.333,38459.07314
1465,7.338,200.0016
1466,7.343,0
1467,7.348,0
1468,7.353,0
1469,7.358,0
1470,7.363,0
1471,7.368,0
1472,7.373,0
1473,7.378,0
1474,7.383,0
1475,7.388,0
1476,7.394,0
1477,7.399,0
1478,7.404,0
1479,7.409,0
1480,7.414,0
1481,7.419,0
1482,7.424,0
1483,7.429,0
1484,7.434,0
1485,7.439,0
1486,7.444,0
1487,7.449,0
1488,7.454,39462.19242
1489,7.459,400.0064001
1490,7.464,200.0016
1491,7.469,0
1492,7.474,0
1493,7.479,0
1494,7.484,0
1495,7.489,0
1496,7.494,0
1497,7.499,0
1498,7.504,0
1499,7.509,0
1500,7.514,0
1501,7.519,0
1502,7.524,0
1503,7.529,0
1504,7.534,0
1505,7.539,0
1506,7.544,0
1507,7.549,0
1508,7.554,200.0016
1509,7.559,0
1510,7.564,0
1511,7.569,200.0016
1512,7.574,0
1513,7.579,0
1514,7.584,0
1515,7.589,0
1516,7.594,0
1517,7.599,200.0016
1518,7.604,200.0016
1519,7.609,0
1520,7.614,0
1521,7.619,0
1522,7.624,0
1523,7.629,3800.577688
1524,7.634,0
1525,7.639,0
1526,7.644,0
1527,7.649,0
1528,7.654,200.0016
1529,7.659,0
1530,7.664,0
1531,7.669,0
1532,7.674,0
1533,7.679,0
1534,7.684,0
1535,7.689,0
1536,7.694,0
1537,7.699,0
1538,7.704,0
1539,7.709,0
1540,7.714,0
1541,7.719,0
1542,7.724,0
1543,7.729,0
1544,7.734,0
1545,7.739,0
1546,7.744,200.0016
1547,7.749,0
1548,7.754,0
1549,7.759,0
1550,7.764,0
1551,7.769,0
1552,7.774,0
1553,7.779,0
1554,7.784,0
1555,7.789,0
1556,7.794,0
1557,7.799,0
1558,7.804,0
1559,7.809,0
1560,7.814,0
1561,7.819,0
1562,7.824,0
1563,7.829,200.0016
1564,7.834,0
1565,7.839,0
1566,7.844,0
